"uid","domainID","siteID","namedLocation","startDate","surveyEndDate","samplingImpractical","eventID","surveyBoutTypeID","meanBankfullWidth","S1habitatID","S2habitatID","sensorSetLength","sensorSetSlope","sensorSetElevDiff","thalwegLength","thalwegSlope","channelSinuosityIndex","percentDry","percentComplete","percentSubterranean","totalTransformationError","samplingProtocolVersion","sopVersion","dataFileName","dataFilePath","rawDataFileName","rawDataFilePath","remarks","processedSurveyVersion","dataQF","publicationDate","release"
"d498e8fe-c1fd-4c9f-b355-34b2e987bdae","D08","MAYF","MAYF",2022-11-22 15:36:00,2022-12-07 15:24:00,"OK","MAYF.202212","geomorphology",7.81,"pool6","pool5",232.68,0.55,1.27,1537.42,0.37,0.77,0,100,0,0,"NEON.DOC.003162vA",NA,"NEON_D08_MAYF_GEOMORPH_20221207_L4_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D08_MAYF_GEOMORPH_20221207_L4_VG.zip",NA,NA,NA,"VG",NA,"20241213T143444Z","RELEASE-2025"
"ece45c6f-3e49-4362-86ac-03a98006dbae","D10","ARIK","ARIK",2022-03-01 15:31:00,2022-03-03 18:32:00,"OK","ARIK.202203","geomorphology",5.18,"pool4","pool3",167.52,0.46,0.78,1198.21,0.32,1.35,0,100,0,0,"NEON.DOC.003162vA",NA,"NEON_D10_ARIK_GEOMORPH_20220303_L4_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D10_ARIK_GEOMORPH_20220303_L4_VG.zip",NA,NA,NA,"VG",NA,"20241213T142715Z","RELEASE-2025"
"2ae24649-b1f5-4b51-b27a-b62bad939571","D11","BLUE","BLUE",2022-07-25 22:00:00,2022-07-25 22:00:00,"OK","BLUE.202207","rapid habitat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.003162vD",NA,NA,NA,"NEON_D11_BLUE_20220725_RAPID_HABITAT_L0_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D11_BLUE_20220725_RAPID_HABITAT_L0_VG.zip",NA,"VG",NA,"20241213T143459Z","RELEASE-2025"
"8ad533d9-df8c-4a1c-933d-35f1d53236d6","D13","COMO","COMO",2022-08-08 16:02:00,2022-08-31 18:04:00,"OK","COMO.202208","geomorphology",2.88,"riffle4","step-pool3",91.19,7.77,7.09,1168.04,8.73,0.69,0,100,0,0,"NEON.DOC.003162vA",NA,"NEON_D13_COMO_GEOMORPH_20220831_L4_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D13_COMO_GEOMORPH_20220831_L4_VG.zip",NA,NA,NA,"VG",NA,"20250110T035201Z","RELEASE-2025"
"73a2c7a7-15bf-4743-a827-c5085e3aaec2","D14","SYCA","SYCA",2022-03-01 16:00:00,2022-03-15 21:23:00,"OK","SYCA.202203","AIS survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.005399vA",NA,NA,NA,NA,NA,NA,NA,NA,"20241213T142824Z","RELEASE-2025"
"641cd7e5-16c2-4f50-a220-5bcf7ff7bb20","D14","SYCA","SYCA",2022-05-25 02:00:00,2022-05-25 02:00:00,"OK","SYCA.202205","rapid habitat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.003162vD",NA,NA,NA,"NEON_D14_SYCA_20220524_RAPID_HABITAT_L0_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D14_SYCA_20220524_RAPID_HABITAT_L0_VG.zip",NA,"VG",NA,"20241213T142618Z","RELEASE-2025"
"bb2c20fb-4506-4e46-a5e0-8004e0e59600","D15","REDB","REDB",2022-11-08 17:40:00,2022-11-30 17:49:00,"OK","REDB.202211","geomorphology",3.83,"pool1","step-pool3",300.02,5.64,16.93,769.36,4.65,0.73,0,70.35,0,0,"NEON.DOC.003162vD",NA,"NEON_D15_REDB_GEOMORPH_20221130_L4_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D15_REDB_GEOMORPH_20221130_L4_VG.zip",NA,NA,NA,"VG",NA,"20250113T223951Z","RELEASE-2025"
"82ca5a1e-1e5e-4c53-8524-f290b8f167b2","D16","MART","MART",2022-07-13 02:00:00,2022-07-13 02:00:00,"OK","MART.202207","rapid habitat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.003162vD",NA,NA,NA,"NEON_D16_MART_20220712_RAPID_HABITAT_L0_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D16_MART_20220712_RAPID_HABITAT_L0_VG.zip",NA,"VG",NA,"20241213T143753Z","RELEASE-2025"
"3316e44b-0c60-4e43-b79e-f7c2c2e453f6","D16","MCRA","MCRA",2022-08-17 02:00:00,2022-08-17 02:00:00,"OK","MCRA.202208","rapid habitat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.003162vD",NA,NA,NA,"NEON_D16_MCRA_20220816_RAPID_HABITAT_L0_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D16_MCRA_20220816_RAPID_HABITAT_L0_VG.zip",NA,"VG",NA,"20241213T142550Z","RELEASE-2025"
"fd5dda51-2221-4ec9-b635-c944b730d513","D16","MCRA","MCRA",2022-08-30 17:18:00,2022-08-31 21:16:00,"OK","MCRA.202208","AIS survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.005399vA",NA,NA,NA,NA,NA,NA,NA,NA,"20241213T142550Z","RELEASE-2025"
"33031176-c591-459a-8884-3ea82494b514","D17","BIGC","BIGC",2022-01-25 18:21:00,2022-01-26 21:41:00,"OK","BIGC.202201","AIS survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.005399vA",NA,NA,NA,NA,NA,NA,NA,NA,"20241213T142344Z","RELEASE-2025"
"7e5cc402-a3df-43e9-9eb4-7369eccf71c0","D17","BIGC","BIGC",2022-08-24 16:40:00,2022-08-24 16:40:00,"OK","BIGC.202208","rapid habitat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.003162vD",NA,NA,NA,"NEON_D17_BIGC_20220824_RAPID_HABITAT_L0_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D17_BIGC_20220824_RAPID_HABITAT_L0_VG.zip",NA,"VG",NA,"20241218T011357Z","RELEASE-2025"
"4ee9bb34-76ce-4616-b91b-40315fd8f5cc","D17","TECR","TECR",2022-08-31 02:00:00,2022-08-31 02:00:00,"OK","TECR.202208","rapid habitat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.003162vD",NA,NA,NA,"NEON_D17_TECR_20220830_RAPID_HABITAT_L0_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D17_TECR_20220830_RAPID_HABITAT_L0_VG.zip",NA,"VG",NA,"20241213T142642Z","RELEASE-2025"
"cee4749e-3a79-4f16-8255-78230bff4401","D18","OKSR","OKSR",2022-07-12 04:00:00,2022-07-12 04:00:00,"OK","OKSR.202207","rapid habitat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.003162vD",NA,NA,NA,"NEON_D18_OKSR_20220711_RAPID_HABITAT_L0_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D18_OKSR_20220711_RAPID_HABITAT_L0_VG.zip",NA,"VG",NA,"20241213T142644Z","RELEASE-2025"
"2f9cf2ad-748b-420c-b962-193448735d91","D18","OKSR","OKSR",2022-08-10 20:52:00,2022-08-10 20:52:00,"OK","OKSR.202208","AIS survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.005399vA",NA,NA,NA,NA,NA,NA,NA,NA,"20241213T142621Z","RELEASE-2025"
"f7de0faa-856c-46df-a169-173e6c769e2b","D19","CARI","CARI",2022-07-11 20:53:00,2022-09-01 19:44:00,"OK","CARI.202209","geomorphology",2.9,"run23","run13",382.45,1.09,4.16,1353.26,1.07,0.99,0,100,0.22,0.32,"NEON.DOC.003162vA",NA,"NEON_D19_CARI_GEOMORPH_20220901_L4_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D19_CARI_GEOMORPH_20220901_L4_VG.zip","NEON_D19_CARI_GEOMORPH_20220901_L0_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D19_CARI_GEOMORPH_20220901_L0_VG.zip",NA,"VG",NA,"20241213T142352Z","RELEASE-2025"
